id,input_text,perceived_mood,indicators,suggested_reply,suggested_actions,confidence_score
1028,"Attending usual lectures, nothing new",neutral,normal;सामान्य,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.77
1029,Ready to tackle all my assignments,motivated,उत्साहित;enthusiastic,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.95
1030,I have too many assignments and can't finish on time,stressed,काम;संभाल,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.98
1031,Feeling pumped to finish my project tonight,motivated,energy;goal,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.98
1032,Working on routine assignments,neutral,nothing special;normal,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.78
1033,I have too many assignments and can't finish on time,stressed,संभाल;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.92
1034,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;goal,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.8
1035,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;goal,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.7
1036,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;deadlines,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.9
1037,I don't see the point in anything anymore,depressed,meaningless;dark,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.71
1038,Had a great time with friends today!,happy,joy;well-being,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.98
1039,Feeling pumped to finish my project tonight,motivated,excited;energy,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.74
1040,Excited to learn new things today,motivated,drive;energy,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.77
1041,"Classes were normal today, nothing much happened",neutral,nothing special;सामान्य,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.9
1042,I can achieve my goals if I work hard,motivated,enthusiastic;drive,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.93
1043,"Attending usual lectures, nothing new",neutral,normal;routine,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.75
1044,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,overload;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.89
1045,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,tasks;काम,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.89
1046,"Just finished my homework, pretty regular day",neutral,routine;nothing special,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.87
1047,Feeling so lonely even when surrounded by people,depressed,hopeless;बेकार,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.89
1048,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,pressure;overload,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.96
1049,Had a great time with friends today!,happy,well-being;खुशी,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.82
1050,Feeling pumped to finish my project tonight,motivated,goal;drive,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.98
1051,"Classes were normal today, nothing much happened",neutral,usual;nothing special,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.9
1052,"Classes were normal today, nothing much happened",neutral,nothing special;routine,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.95
1053,मुझे लगता है कि सब बेकार है,depressed,बेकार;dark,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.75
1054,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,संभाल;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.81
1055,I have too many assignments and can't finish on time,stressed,काम;deadlines,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.91
1056,I can't stop worrying about the interview tomorrow,anxious,nervous;worried,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.77
1057,"Classes were normal today, nothing much happened",neutral,usual;normal,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.98
1058,"Classes were normal today, nothing much happened",neutral,routine;normal,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.93
1059,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,deadlines;overload,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.85
1060,Excited to learn new things today,motivated,drive;goal,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.71
1061,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;worried,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.71
1062,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,energy;drive,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.96
1063,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,tasks;overload,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.94
1064,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;tasks,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.72
1065,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,ghabraahat;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.98
1066,Everything is going well in life,happy,friends;amazing,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.87
1067,मुझे लगता है कि सब बेकार है,depressed,hopeless;dark,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.75
1068,I'm tired all the time and don't want to do anything,depressed,lonely;बेकार,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.71
1069,I feel overwhelmed with all the tasks,stressed,काम;overload,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.72
1070,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,deadlines;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.9
1071,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,ordinary;nothing special,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.85
1072,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,ordinary;usual,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.87
1073,Ready to tackle all my assignments,motivated,goal;energy,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.8
1074,I feel overwhelmed with all the tasks,stressed,overload;संभाल,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.98
1075,"I got an A on my exam, feeling amazing!",happy,well-being;enjoyed,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.92
1076,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;energy,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.93
1077,Ready to tackle all my assignments,motivated,उत्साहित;drive,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.97
1078,I have too many assignments and can't finish on time,stressed,pressure;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.8
1079,"Classes were normal today, nothing much happened",neutral,routine;nothing special,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.75
1080,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,tasks;deadlines,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.91
1081,Everything is going well in life,happy,amazing;खुशी,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.9
1082,I don't see the point in anything anymore,depressed,hopeless;dark,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.77
1083,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,सामान्य;ordinary,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.87
1084,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,overload;संभाल,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.75
1085,I don't see the point in anything anymore,depressed,बेकार;lonely,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.98
1086,My heart is racing thinking about the exam,anxious,nervous;worried,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.72
1087,I can't stop worrying about the interview tomorrow,anxious,heart racing;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.92
1088,My heart is racing thinking about the exam,anxious,परेशान;nervous,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.96
1089,Everything is going well in life,happy,friends;joy,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.84
1090,Feeling anxious about meeting new people,anxious,heart racing;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.91
1091,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,drive;enthusiastic,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.76
1092,मुझे बहुत खुशी हो रही है आज,happy,well-being;joy,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.71
1093,Working on routine assignments,neutral,routine;सामान्य,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.84
1094,Feeling pumped to finish my project tonight,motivated,उत्साहित;excited,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.86
1095,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,overload;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.77
1096,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;pressure,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.83
1097,Everything is going well in life,happy,joy;खुशी,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.95
1098,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,normal;सामान्य,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.7
1099,Feeling pumped to finish my project tonight,motivated,उत्साहित;enthusiastic,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.79
1100,I'm tired all the time and don't want to do anything,depressed,tired;meaningless,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.72
1101,मुझे लगता है कि सब बेकार है,depressed,tired;dark,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.81
1102,Working on routine assignments,neutral,routine;normal,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.89
1103,Feeling pumped to finish my project tonight,motivated,goal;drive,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.77
1104,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,संभाल;tasks,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.92
1105,My heart is racing thinking about the exam,anxious,ghabraahat;anxious,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.82
1106,"Deadlines are piling up, I feel like I’ll collapse",stressed,pressure;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.85
1107,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,संभाल;tasks,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.96
1108,Working on routine assignments,neutral,normal;routine,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.73
1109,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,normal;routine,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.78
1110,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,उत्साहित;drive,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.98
1111,I have too many assignments and can't finish on time,stressed,काम;tasks,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.8
1112,"Classes were normal today, nothing much happened",neutral,normal;ordinary,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.95
1113,Feeling anxious about meeting new people,anxious,anxious;ghabraahat,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.8
1114,I can achieve my goals if I work hard,motivated,उत्साहित;goal,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.85
1115,Enjoyed a wonderful day outdoors,happy,खुशी;amazing,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.96
1116,I don't see the point in anything anymore,depressed,dark;lonely,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.98
1117,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,pressure;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.88
1118,Feeling anxious about meeting new people,anxious,ghabraahat;nervous,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.9
1119,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,drive;excited,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.99
1120,मुझे बहुत खुशी हो रही है आज,happy,खुशी;amazing,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.76
1121,Feeling pumped to finish my project tonight,motivated,excited;enthusiastic,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.81
1122,मुझे बहुत खुशी हो रही है आज,happy,well-being;amazing,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.82
1123,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,सामान्य;normal,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.98
1124,Everything is going well in life,happy,amazing;enjoyed,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.98
1125,मुझे बहुत खुशी हो रही है आज,happy,well-being;खुशी,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.73
1126,"Classes were normal today, nothing much happened",neutral,ordinary;usual,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.71
1127,मुझे बहुत खुशी हो रही है आज,happy,खुशी;amazing,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.72
1128,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,goal;excited,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.76
1129,I feel overwhelmed with all the tasks,stressed,काम;deadlines,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.76
1130,I'm tired all the time and don't want to do anything,depressed,tired;meaningless,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.8
1131,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,ghabraahat;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.78
1132,Everything feels meaningless and dark,depressed,बेकार;tired,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.91
1133,"Attending usual lectures, nothing new",neutral,सामान्य;normal,Got it — sounds like a steady day.,Reflect on small achievements.,0.98
1134,"Attending usual lectures, nothing new",neutral,ordinary;usual,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.74
1135,Feeling so lonely even when surrounded by people,depressed,tired;dark,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.92
1136,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;pressure,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.86
1137,Excited to learn new things today,motivated,drive;excited,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.78
1138,"Classes were normal today, nothing much happened",neutral,normal;usual,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.86
1139,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,routine;nothing special,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.79
1140,Ready to tackle all my assignments,motivated,energy;enthusiastic,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.84
1141,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,energy;excited,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.99
1142,I feel overwhelmed with all the tasks,stressed,संभाल;pressure,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.86
1143,Feeling so lonely even when surrounded by people,depressed,meaningless;hopeless,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.91
1144,I have too many assignments and can't finish on time,stressed,overload;tasks,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.79
1145,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;drive,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.8
1146,I can achieve my goals if I work hard,motivated,energy;enthusiastic,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.89
1147,I feel overwhelmed with all the tasks,stressed,overload;संभाल,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.92
1148,"I got an A on my exam, feeling amazing!",happy,amazing;enjoyed,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.9
1149,मुझे लगता है कि सब बेकार है,depressed,tired;meaningless,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.7
1150,"I got an A on my exam, feeling amazing!",happy,amazing;खुशी,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.97
1151,I can't stop worrying about the interview tomorrow,anxious,nervous;anxious,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.94
1152,Everything is going well in life,happy,enjoyed;well-being,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.86
1153,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,काम;deadlines,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.97
1154,"Just finished my homework, pretty regular day",neutral,normal;nothing special,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.96
1155,Everything is going well in life,happy,amazing;friends,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.71
1156,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,overload;संभाल,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.79
1157,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,worried;heart racing,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.72
1158,"Attending usual lectures, nothing new",neutral,routine;ordinary,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.93
1159,Everything is going well in life,happy,joy;खुशी,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.71
1160,मुझे लगता है कि सब बेकार है,depressed,hopeless;meaningless,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.87
1161,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,anxious;ghabraahat,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.74
1162,I can achieve my goals if I work hard,motivated,goal;enthusiastic,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.95
1163,Excited to learn new things today,motivated,drive;goal,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.73
1164,Had a great time with friends today!,happy,well-being;friends,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.98
1165,Feeling anxious about meeting new people,anxious,worried;anxious,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.95
1166,"Just finished my homework, pretty regular day",neutral,nothing special;usual,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.9
1167,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,pressure;काम,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.85
1168,"Classes were normal today, nothing much happened",neutral,normal;routine,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.85
1169,"Just finished my homework, pretty regular day",neutral,nothing special;normal,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.71
1170,Feeling so lonely even when surrounded by people,depressed,hopeless;बेकार,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.87
1171,Feeling so lonely even when surrounded by people,depressed,lonely;tired,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.99
1172,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,routine;सामान्य,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.75
1173,Ready to tackle all my assignments,motivated,excited;energy,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.85
1174,Feeling pumped to finish my project tonight,motivated,energy;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.9
1175,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,deadlines;pressure,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.76
1176,"Classes were normal today, nothing much happened",neutral,ordinary;सामान्य,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.78
1177,Excited to learn new things today,motivated,goal;enthusiastic,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.8
1178,Excited to learn new things today,motivated,उत्साहित;excited,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.74
1179,"Classes were normal today, nothing much happened",neutral,routine;normal,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.77
1180,I can't stop worrying about the interview tomorrow,anxious,worried;anxious,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.9
1181,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,परेशान;ghabraahat,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.88
1182,"Deadlines are piling up, I feel like I’ll collapse",stressed,संभाल;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.76
1183,Ready to tackle all my assignments,motivated,उत्साहित;goal,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.8
1184,Everything is going well in life,happy,joy;enjoyed,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.81
1185,Feeling so lonely even when surrounded by people,depressed,बेकार;meaningless,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.75
1186,I can achieve my goals if I work hard,motivated,excited;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.74
1187,Ready to tackle all my assignments,motivated,उत्साहित;energy,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.84
1188,Everything is going well in life,happy,well-being;खुशी,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.95
1189,Had a great time with friends today!,happy,खुशी;amazing,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.98
1190,"I got an A on my exam, feeling amazing!",happy,amazing;enjoyed,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.87
1191,My heart is racing thinking about the exam,anxious,ghabraahat;परेशान,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.8
1192,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,pressure;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.72
1193,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,nervous;ghabraahat,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.96
1194,I have too many assignments and can't finish on time,stressed,deadlines;pressure,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.86
1195,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,संभाल;काम,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.96
1196,मुझे लगता है कि सब बेकार है,depressed,meaningless;बेकार,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.99
1197,Working on routine assignments,neutral,सामान्य;normal,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.93
1198,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,pressure;काम,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.8
1199,"I got an A on my exam, feeling amazing!",happy,amazing;खुशी,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.88
1200,I feel overwhelmed with all the tasks,stressed,overload;pressure,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.79
1201,Enjoyed a wonderful day outdoors,happy,friends;well-being,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.91
1202,Had a great time with friends today!,happy,well-being;amazing,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.86
1203,Enjoyed a wonderful day outdoors,happy,खुशी;friends,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.89
1204,I'm tired all the time and don't want to do anything,depressed,dark;बेकार,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.79
1205,"Attending usual lectures, nothing new",neutral,normal;usual,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.89
1206,मुझे बहुत खुशी हो रही है आज,happy,joy;well-being,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.84
1207,Ready to tackle all my assignments,motivated,enthusiastic;goal,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.97
